"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"416";"Clemondo";"Sverige";"CLEM";"Material";"109,4";"19,9";"-1,8";"0,39";"0,9";"18,0";"0,5";"9,8";"4,6%";"3,6%";"39,6%";"3,0%";"1,9%";"5";"1,5";"-0,9%";"2,0";"-12,2%";"-13,7%";"-3,1%"
"1542";"Climeon";"Sverige";"CLIME B";"Kraftförsörjning";"123,5";"-0,9";;"0,01";"0,6";"-0,9";"7,6";"-2,2";"-71,4%";"-79,0%";"-112,4%";"-893,0%";"-1069,5%";"1";"2,7";"-1,3%";;"-19,7%";"-40,9%";"-15,7%"
"521";"Clinical Laserthermia";"Sverige";"CLS B";"Hälsovård";"147,4";"-3,5";;"0,88";"2,2";"-4,4";"7,2";"-4,1";"-62,6%";"-92,6%";"-86,6%";"-164,7%";"-238,0%";"2";"3,9";"40,8%";;"-33,4%";"-44,0%";"55,6%"
"52";"Cloetta";"Sverige";"CLA B";"Dagligvaror";"14705,1";"18,3";"0,3";"0,42";"2,6";"14,0";"1,8";"15,8";"13,9%";"10,4%";"36,2%";"13,0%";"9,3%";"8";"1,6";"7,5%";"0,7";"26,7%";"52,5%";"82,2%"
"1932";"Cloudberry Clean Energy";"Norge";"CLOUD";"Kraftförsörjning";"4507,1";"65,1";"-1,7";"0,18";"0,7";"49,9";"12,2";"-31,9";"1,1%";"0,7%";"101,0%";"24,5%";"11,9%";"4";"4,6";"34,9%";"7,3";"2,0%";"-4,3%";"22,4%"
"2600";"CMB.TECH NV";"Norge";"CMBTO";"Energi";"38794,5";;;;;;;;;;;;;"1";;;;"23,7%";"31,9%";
"2012";"CodeLab Capital";"Norge";"CODE";"Informationsteknik";"41,7";"-4,2";;"0,39";"1,4";"-3,4";"2,5";"-6,3";"-33,8%";"-30,9%";"59,7%";"-75,4%";"-77,9%";"1";"1,4";"-60,2%";;"11,6%";"17,2%";"-12,3%"
"2199";"CodeMill";"Sverige";"CDMIL";"Informationsteknik";"201,6";;;"-0,34";"4,0";"4693,3";"2,6";"41,2";"-0,1%";"-0,2%";"89,3%";"0,1%";"-0,1%";"4";"1,6";"5,4%";"-1,8";"-3,0%";"-2,0%";"-34,5%"
"1666";"Coegin Pharma";"Sverige";"COEGIN";"Hälsovård";"106,4";"-4,5";;"0,03";"19,5";"-4,1";"1071,1";"-5,5";"-432,2%";;"-603,8%";"-25888,6%";"-25945,6%";"1";"1,2";;;"-16,4%";"-55,8%";"-15,5%"
"2607";"Coffee Stain";"Sverige";"COFFEE B";"Sällanköpsvaror";"3667,6";"93,1";;;"1,0";"28,3";"3,3";"10,3";"0,8%";"0,9%";"88,3%";"11,6%";"3,3%";"6";"4,1";;"-1,0";"-26,3%";;
"2097";"CoinShares";"Sverige";"CS";"Informationsteknik";"5480,9";"5,4";"0,1";"0,82";"1,4";"4,7";"4,6";"45,5";"26,2%";"29,3%";"84,0%";"97,5%";"92,2%";"5";"1,1";"23,2%";"-0,4";"-27,9%";"-41,4%";"13,7%"
"2336";"Collaxio";"Sverige";"COLLAX";"Finans & Fastighet";"34,7";"-0,9";;"0,58";"0,4";"0,0";;"0,4";"-39,8%";"-55,9%";;;;;"13,5";;;"-21,9%";"-44,1%";"-79,3%"
"892";"Coloplast";"Danmark";"COLO B";"Hälsovård";"147550,0";"23,2";"-1,2";"0,47";"6,7";"16,2";"4,2";"17,3";"28,9%";"10,0%";"67,9%";"25,7%";"14,3%";"6";"1,3";"4,4%";"2,8";"-21,9%";"-27,7%";"-41,1%"
"1230";"Columbus";"Danmark";"COLUM";"Informationsteknik";"1892,3";"58,2";"-1,0";"0,38";"1,7";"23,8";"0,9";"23,2";"2,9%";"2,6%";"89,0%";"3,7%";"1,4%";"5";"1,1";"4,3%";"1,3";"-0,4%";"-5,8%";"-22,7%"
"2377";"CombinedX";"Sverige";"CX";"Informationsteknik";"578,5";"14,9";"-0,5";"0,40";"1,2";"11,1";"0,7";"96,0";"7,9%";"7,4%";"85,1%";"6,1%";"4,0%";"3";"1,0";"13,4%";"0,7";"-17,7%";"-15,1%";"-22,9%"
"1749";"Comintelli";"Sverige";"COMINT";"Informationsteknik";"34,2";"-6,5";;"0,68";"3,0";"-7,2";"1,0";"-15,9";"-45,8%";"-64,8%";"96,4%";"-14,2%";"-17,2%";"1";"2,1";"8,9%";;"51,8%";"9,7%";"-11,9%"
"2297";"Compodium";"Sverige";"COMPDM";"Informationsteknik";"36,3";"-2,6";;"0,30";"1,0";"-2,1";"0,8";"82,2";"-36,9%";"-36,1%";"85,6%";"-36,1%";"-33,6%";"6";"0,6";"-8,8%";"-0,6";"9,3%";"-23,3%";"-33,0%"
"797";"Componenta";"Finland";"CTH1V";"Industri";"481,8";"5,3";"0,0";"0,83";"1,2";"10,4";"0,4";"8,9";"23,4%";"23,7%";;"3,7%";"6,9%";"6";"1,1";"2,0%";"0,2";"-0,5%";"2,8%";"17,5%"
"56";"Concejo B";"Sverige";"CNCJO B";"Informationsteknik";"548,8";"11,7";"0,1";"0,71";"0,9";"57,1";"0,8";"6,3";"7,6%";"8,1%";"42,5%";"1,5%";"9,0%";"6";"2,8";"12,0%";"-3,9";"15,0%";"-11,5%";"13,6%"
"530";"Consensus";"Sverige";"CAM B";"Finans & Fastighet";"167,7";"-213,6";;"0,58";"3,6";"-21,5";"2,6";"-6,2";"-1,7%";"-1,0%";"-4,9%";"-12,0%";"-1,2%";;;"3,5%";;"-1,8%";"100,0%";"131,6%"
"2578";"Constellation Oil";"Norge";"COSH";"Energi";"11741,4";;;;;;;;;;;;;"1";;;;"13,4%";"26,2%";"41,5%"
"931";"Consti";"Finland";"CONSTI";"Industri";"1048,9";"13,4";"-2,4";"0,57";"2,0";"9,3";"0,3";"6,3";"15,1%";"19,1%";"28,8%";"2,8%";"2,0%";"7";"1,0";"3,3%";"-0,4";"10,5%";"10,0%";"11,1%"
"1052";"ContextVision";"Norge";"CONTX";"Hälsovård";"259,0";"291,4";"-3,0";"0,51";"2,5";"414,3";"1,6";"298,3";"0,9%";"2,5%";"67,6%";"0,4%";"0,7%";"5";"4,3";"-2,2%";"-7,7";"-22,6%";"-25,5%";"-44,0%"
"741";"Coor Service Management";"Sverige";"COOR";"Industri";"5624,2";"25,5";"0,3";"0,71";"4,0";"17,4";"0,6";"9,5";"15,7%";"6,1%";"11,6%";"3,6%";"1,7%";"8";"0,7";"1,9%";"2,9";"23,4%";"26,1%";"71,7%"
"1231";"Copenhagen Capital";"Danmark";"CPHCAP ST";"Finans & Fastighet";"665,7";"5,7";"0,0";"0,11";"0,6";"26,3";"18,0";"-1,3";"14,4%";"6,1%";"87,2%";"68,6%";"144,1%";;"0,1";"10,7%";"18,0";"0,0%";"-0,7%";"21,8%"
"57";"Corem Property A";"Sverige";"CORE A";"Finans & Fastighet";"5096,0";"5,6";"-1,0";"0,82";"0,2";"37,3";"9,3";"0,8";"4,2%";"1,8%";"64,2%";"24,9%";"19,8%";;"0,2";"-8,3%";"32,2";"-15,3%";"-30,4%";"-28,6%"
"2218";"Corem Property D";"Sverige";"CORE D";"Finans & Fastighet";"338057,7";"373,2";"-67,0";"0,46";"15,5";"329,2";"82,0";"56,3";"4,2%";"1,8%";"64,2%";"24,9%";"19,8%";;"0,2";"-8,3%";"32,2";"-3,3%";"-6,0%";"7,5%"
"749";"Corline Biomedical";"Sverige";"CLBIO";"Hälsovård";"401,1";"-27,3";;"0,88";"4,3";"-25,8";"49,7";"-21,5";"-15,7%";"-20,1%";"81,8%";"-192,8%";"-192,3%";"1";"5,0";"-31,3%";;"-5,2%";"3,4%";"57,3%"
"270";"C-RAD";"Sverige";"CRAD B";"Hälsovård";"862,7";"82,4";"-1,0";"0,59";"2,5";"15,6";"1,6";"17,2";"3,0%";"5,6%";"69,2%";"10,2%";"2,4%";"6";"3,1";"13,6%";"-2,9";"-17,7%";"-16,2%";"-16,4%"
"278";"Creades";"Sverige";"CRED A";"Finans & Fastighet";"9102,8";"7,5";"8,2";"1,11";"0,8";"7,3";;"-42,7";"10,9%";"11,2%";;;;;"3,4";;"-0,2";"-6,9%";"-12,3%";"-18,3%"
"2208";"Creturner";"Sverige";"CRET";"Informationsteknik";"2,6";"-0,1";;"-0,93";"0,0";"-0,1";"0,2";"-1,3";"-33,6%";"-33,1%";"90,2%";"-200,4%";"-199,6%";"3";"1,6";"-28,8%";"-0,1";"-40,0%";"-75,2%";"-80,4%"
"571";"Crown Energy";"Sverige";"CRWN";"Energi";"147,0";"-1,2";;"0,38";"0,3";"-3,5";"11,4";"2,3";"-25,9%";"-11,7%";"54,6%";"-326,9%";"-323,6%";"4";"0,4";"-1,7%";"-4,5";"25,2%";"5,5%";"-44,5%"
"1382";"Crunchfish";"Sverige";"CFISH";"Informationsteknik";"225,7";"-10,0";;"0,47";"4,6";"-10,7";"303,0";"-8,1";"-40,8%";"-53,4%";"-418,8%";"-2833,4%";"-2852,9%";"1";"2,4";"-51,4%";;"39,1%";"-22,9%";"242,8%"
"2219";"Crustal Resources";"Sverige";"CRUST B";"Material";"38,7";"-6,8";;"0,92";"2,6";"-4,9";;"-16,0";"-38,9%";"-69,9%";;;;"1";"24,9";;;"-4,0%";"50,0%";"41,2%"
"2253";"CTEK";"Sverige";"CTEK";"Industri";"986,7";"37,1";"0,2";"0,70";"1,4";"16,1";"1,4";"10,5";"3,7%";"2,6%";"58,8%";"9,0%";"3,2%";"6";"3,0";"-4,3%";"1,4";"11,4%";"10,3%";"-10,4%"
"58";"CTT Systems";"Sverige";"CTT";"Industri";"1678,9";"43,5";"-0,8";"0,37";"6,4";"35,5";"6,4";"55,0";"14,7%";"16,3%";"68,6%";"18,0%";"14,6%";"4";"2,5";"3,2%";"0,2";"-31,4%";"-43,7%";"-42,0%"
"1976";"Curasight";"Danmark";"CURAS";"Hälsovård";"1164,5";"-14,4";;"0,38";"42,6";"-13,7";;"29,5";"-296,8%";;;;;"1";"1,4";;;"38,7%";"233,0%";"86,3%"
"1366";"Cyber Security 1";"Sverige";"CYB1";"Informationsteknik";"1,0";"-0,2";;"0,23";"-0,3";"-1,8";"0,2";"-0,8";;"-190,6%";"21,0%";"-9,6%";"-11,1%";"1";"0,8";"-4,0%";"-2,7";"-76,5%";"-73,3%";"-80,0%"
"2522";"Cyclezyme";"Sverige";"CYCLE";"Hälsovård";"34,4";"-20,5";;"-0,40";"4,2";"-19,5";"35,7";"-8,0";"-20,4%";"-29,4%";"84,7%";"-183,5%";"-187,9%";"2";"5,0";;;"-2,9%";"-31,3%";"11,8%"
"2060";"Cyviz";"Norge";"CYVIZ";"Informationsteknik";"442,2";"-25,8";;"0,14";"4,3";"307,6";"0,7";"-38,5";"-16,5%";"-18,0%";"53,6%";"0,2%";"-3,0%";"4";"1,0";"5,1%";"-0,7";"-12,9%";"-11,8%";"9,3%"
"1191";"D/S Norden";"Danmark";"DNORD";"Industri";"13219,1";"10,8";"-0,5";"0,88";"1,2";"11,9";"0,6";"4,4";"9,4%";"8,5%";"15,5%";"5,1%";"3,8%";"6";"1,6";"-16,2%";"0,8";"15,9%";"15,7%";"46,9%"
"1846";"Danish Aerospace";"Danmark";"DAC";"Hälsovård";"78,9";"-20,4";;"1,42";"6,7";"-49,9";"4,0";"71,4";"-32,6%";"-25,2%";"76,0%";"-7,9%";"-14,2%";"4";"1,2";"-8,3%";"-20,0";"-39,0%";"-56,7%";"-71,8%"
"1233";"Danske Andelskassers";"Danmark";"DAB";"Finans & Fastighet";"6013,2";"14,6";"-3,2";"0,35";"1,4";"14,6";"4,9";;"9,3%";"1,5%";"30,8%";"33,7%";"33,8%";;;"9,7%";;"-0,8%";"19,0%";"22,7%"
"893";"Danske Bank";"Danmark";"DANSKE";"Finans & Fastighet";"398930,5";"11,3";;"0,87";"1,5";"8,6";"4,6";"12,9";"12,7%";"0,6%";"100,0%";"54,0%";"40,5%";;;"26,6%";;"0,9%";"17,3%";"31,4%"
"1234";"Dantax";"Danmark";"DANT";"Sällanköpsvaror";"128,7";"13,0";"-1,0";"0,24";"2,4";"-644,6";"2,7";"2,0";"18,8%";"19,2%";"3611,0%";"-0,4%";"28,7%";"5";"7,4";"0,8%";"-129,0";"-3,4%";"-46,9%";"-41,3%"
"2028";"Dataproces";"Danmark";"DATA";"Informationsteknik";"222,4";"22,8";"-0,6";"0,69";"2,9";"18,1";"3,1";"-9,4";"12,7%";"11,0%";"97,0%";"17,3%";"13,6%";"3";"2,2";"30,3%";"0,1";"-32,7%";"-43,3%";"-51,0%"
"245";"Dedicare";"Sverige";"DEDI";"Industri";"376,8";"11,4";"-0,4";"0,28";"1,3";"7,2";"0,2";"10,1";"11,4%";"14,6%";"100,0%";"2,8%";"2,3%";"5";"1,4";"-6,3%";"-1,2";"-5,7%";"-12,4%";"-19,6%"
"2167";"Deep Value Driller";"Norge";"DVD";"Energi";"2003,3";"7,5";"0,8";"0,99";"20,4";"7,5";"5,1";"4,4";"273,4%";"24,8%";"100,8%";"67,1%";"45,5%";"8";"13,4";;"1,7";"1,0%";"4,0%";"37,4%"
"2594";"Dellia Group";"Norge";"DELIA";"Dagligvaror";"2227,0";"34,3";"0,0";;"5,6";"27,1";"3,2";"-61,4";"12,7%";"36,9%";"33,0%";"11,7%";"7,7%";"3";"2,9";"129,3%";"-1,9";"30,3%";;
"956";"Demant";"Danmark";"DEMANT";"Hälsovård";"58529,2";"16,2";"4,3";"0,89";"3,9";"15,2";"2,5";"-12,1";"23,9%";"7,8%";"75,6%";"16,7%";"10,3%";"4";"1,4";"5,2%";"3,7";"-14,2%";"-23,8%";"-28,0%"
"2080";"Desenio";"Sverige";"DSNO";"Sällanköpsvaror";"292,2";"-0,8";;"-0,20";"0,8";"-2,7";"0,8";"15,7";"-77,3%";"-39,3%";"84,9%";"-29,2%";"-37,7%";"4";"1,1";"-8,5%";"7,7";"39,2%";"-26,9%";"-58,1%"
"2163";"Desert Control";"Norge";"DSRT";"Material";"201,3";"-1,2";;"-0,30";"1,0";"-1,2";"39,1";"-1,3";"-79,2%";"-87,3%";"64,9%";"-3308,3%";"-3487,4%";"1";"5,5";"-3,4%";;"-26,3%";"-20,8%";"-67,4%"
"982";"Detection";"Finland";"DETEC";"Hälsovård";"1682,5";"23,3";"-0,6";"0,66";"1,9";"15,4";"1,2";"163,3";"8,2%";"12,1%";"45,4%";"8,0%";"6,4%";"3";"3,4";"0,8%";"-2,3";"-6,4%";"-1,9%";"-29,3%"
"1565";"DevPort";"Sverige";"DEVP B";"Informationsteknik";"130,5";"-22,7";;"-0,04";"1,1";"-21,3";"0,3";"12,7";"-4,9%";"-5,5%";"58,3%";"-1,4%";"-1,4%";"4";"1,6";"-7,3%";"-3,8";"-10,7%";"-24,0%";"-43,2%"
"2321";"Devyser Diagnostics";"Sverige";"DVYSR";"Hälsovård";"1326,5";"-156,1";;"0,57";"3,7";"128,7";"5,2";"-21,2";"-2,4%";"-2,6%";"80,6%";"4,0%";"-3,4%";"5";"2,9";"25,5%";"-0,7";"-30,1%";"-49,3%";"-26,3%"
"449";"DexTech Medical";"Sverige";"DEX";"Hälsovård";"199,6";"-35,4";;"0,19";"9,1";"-31,6";;"-48,6";"-25,8%";"-58,3%";;;;"1";"28,8";;;"16,1%";"21,3%";"175,5%"
"1192";"DFDS";"Danmark";"DFDS";"Industri";"8607,5";"-12,8";;"0,90";"0,4";"40,5";"0,7";"2,0";"-3,2%";"-1,6%";"68,8%";"1,7%";"-1,4%";"5";"0,8";"4,8%";"4,0";"6,5%";"-0,3%";"0,0%"
"283";"Diadrom";"Sverige";"DIAH";"Informationsteknik";"16,4";"-3,7";;"-0,11";"1,9";"-2,9";"0,2";"-1,8";"-51,4%";"-84,7%";"100,0%";"-6,4%";"-6,3%";"1";"1,4";"-12,9%";;"-52,4%";"-70,0%";"-81,4%"
"62";"Diamyd Medical";"Sverige";"DMYD B";"Hälsovård";"1765,5";"-9,7";;"0,57";"7,6";"-8,1";"4403,2";"-8,9";"-40,5%";"-147,8%";"100,0%";"-54354,9%";"-26927,6%";"3";"9,5";"-13,9%";;"30,8%";"17,8%";"54,5%"
"1720";"Dicot Pharma";"Sverige";"DICOT";"Hälsovård";"926,3";"-11,6";;"0,35";"12,6";"-10,4";"4284,7";"-10,8";"-109,3%";"-1909,5%";"-35950,0%";"-41200,0%";"-40100,0%";;"7,1";;;"34,6%";"-47,7%";"80,8%"
"799";"Digia";"Finland";"DIGIA";"Informationsteknik";"1832,6";"12,4";"-11,2";"0,44";"1,8";"10,3";"0,9";"-123,5";"13,7%";"11,5%";"81,9%";"8,4%";"5,9%";"5";"1,2";"8,3%";"0,9";"-4,4%";"-10,0%";"-13,6%"
"2340";"Digital Workforce";"Finland";"DWF";"Informationsteknik";"297,5";"-29,6";;"0,48";"1,8";"-31,4";"0,7";"-4,5";"-6,0%";"-6,1%";"64,5%";"-2,2%";"-3,0%";"1";"1,3";"4,0%";"-96,7";"-12,4%";"-33,4%";"-39,9%"
"822";"Digitalist Group";"Finland";"DIGIGR";"Informationsteknik";"58,4";"-1,1";;"-0,34";"-0,1";"-2,9";"0,3";"-2,5";;;"76,9%";"-9,5%";"-27,7%";"3";"0,1";"-3,8%";;"-24,5%";"-69,8%";"-43,0%"
"282";"DistIT";"Sverige";"DIST";"Informationsteknik";"172,2";"-0,3";;"0,45";"0,2";"-1,1";"0,2";"-1,1";"-55,7%";"-35,8%";"19,7%";"-15,1%";"-10,8%";"1";"2,0";"-29,5%";"-1,8";"13,2%";"7,3%";"-93,8%"
"2569";"District Metals";"Sverige";"DMXSE SDB";"Energi";"529,0";"-133,2";;"1,26";"24,4";"-119,8";;"-121,0";"-18,3%";"-37,7%";;;;"1";"12,8";;;"-47,8%";"-52,7%";"4,8%"
"2419";"Dividend Sweden";"Sverige";"DIV B";"Finans & Fastighet";"27,2";"-68,3";;"0,93";"0,4";"89,1";"1,8";"-16,0";"-0,6%";"-0,6%";"100,0%";"2,0%";"-2,7%";;"9,7";"-18,5%";"-1,7";"-2,8%";"-26,3%";"18,1%"
"1902";"Divio Technologies";"Sverige";"DIVIO B";"Informationsteknik";"32,5";"-5,1";;"0,53";"13,9";"-5,6";"1,2";"-3,6";"-273,4%";;"93,0%";"-22,1%";"-30,1%";"2";"0,6";"16,5%";"-22,2";"-27,2%";"-32,6%";"-61,2%"
"63";"Diös Fastigheter";"Sverige";"DIOS";"Finans & Fastighet";"9166,4";"11,7";"1,2";"0,62";"0,8";"26,8";"9,9";"-30,8";"6,4%";"2,7%";"68,7%";"36,9%";"29,3%";;"0,2";"6,4%";"17,5";"2,5%";"-1,2%";"-4,1%"
"1236";"Djurslands Bank";"Danmark";"DJUR";"Finans & Fastighet";"3579,6";"9,5";"9,0";"0,42";"1,2";"7,2";"3,5";;"13,0%";"1,6%";"45,8%";"48,6%";"36,9%";;;"10,8%";;"-1,8%";"22,3%";"33,0%"
"2128";"Dlaboratory";"Sverige";"DLAB";"Informationsteknik";"36,3";"-5,0";;"-0,37";"10,9";"-4,2";"0,7";"-499,8";"-217,5%";;"94,1%";"-17,8%";"-17,3%";"5";"0,9";"-1,2%";;"-5,3%";"-12,3%";"-26,2%"
"887";"DNB Bank";"Norge";"DNB";"Finans & Fastighet";"447752,8";"10,3";"-3,4";"0,67";"1,5";"8,2";"4,8";"7,7";"14,2%";"1,2%";"77,5%";"58,9%";"46,3%";;;"11,1%";;"4,8%";"8,9%";"8,8%"
"888";"DNO";"Norge";"DNO";"Energi";"19532,7";"-38,6";;"1,45";"1,4";"5,4";"1,9";"-7,8";"-1,9%";"-0,6%";"40,6%";"34,8%";"-1,7%";"5";"0,9";"2,3%";"1,0";"29,8%";"30,7%";"52,1%"
"2511";"DOF Group";"Norge";"DOFG";"Energi";"32342,6";"6,7";"0,1";"1,02";"1,5";"8,3";"2,3";"10,4";"22,8%";"15,2%";"35,0%";"28,0%";"25,0%";"6";"1,8";;"1,7";"39,8%";"31,2%";"49,9%"
"2480";"Dolphin Drilling";"Norge";"DDRIL";"Energi";"410,0";"-0,7";;"-0,08";"1,0";"-1,0";"0,1";"-0,6";"-139,0%";"-75,0%";"67,4%";"-7,2%";"-41,4%";"1";"1,0";"90,9%";"-2,2";"-13,2%";"-13,2%";"-99,5%"
"910";"Dometic";"Sverige";"DOM";"Sällanköpsvaror";"8115,3";"19,0";"0,2";"1,51";"0,4";"10,6";"0,9";"3,2";"2,0%";"1,3%";"29,2%";"8,1%";"2,0%";"5";"1,4";"-10,9%";"3,3";"-44,2%";"-47,0%";"-45,5%"
"1579";"Done.ai";"Sverige";"DONE";"Informationsteknik";"733,3";"-5,6";;"0,32";"1,3";"-6,0";"3,0";"-2,2";"-19,2%";"-18,5%";"80,5%";"-50,1%";"-44,1%";"1";"1,7";"-2,3%";;"41,1%";"9,3%";"-57,1%"
"2158";"DonkeyRepublic";"Danmark";"DONKEY";"Industri";"455,7";"-27,4";;"0,49";"3,7";"-122,4";"1,9";"-18,7";"-13,6%";"-11,1%";"71,2%";"-1,6%";"-6,6%";"3";"0,9";"163,3%";"0,7";"27,4%";"24,2%";"2,1%"
"876";"Double Bond Pharma";"Sverige";"DBP B";"Hälsovård";"26,8";"-40,3";;"1,41";"0,9";"-7,2";"144,1";"-1,0";"-2,3%";"-2,5%";"6811,9%";"-2010,7%";"-395,2%";"2";"1,7";"-59,3%";;"-18,3%";"11,6%";"-58,9%"
"800";"Dovre";"Finland";"DOV1V";"Industri";"88,6";"-0,1";;"0,30";"-0,2";"-0,0";"0,0";"-0,8";;;"6,4%";"-72,2%";"-58,2%";"3";"0,2";"-23,2%";;"1,4%";"-55,0%";"-67,9%"
"401";"Doxa";"Sverige";"DOXA";"Finans & Fastighet";"575,9";"-2,7";;"0,61";"0,3";"-12,4";"391,8";"-32,2";"-10,7%";"-6,5%";"100,0%";"-3158,3%";"-4402,1%";;"4,5";"43,6%";"-24,9";"-2,5%";"-16,3%";"7,3%"
"287";"Drillcon";"Sverige";"DRIL";"Material";"191,3";;;"0,21";"1,1";"29,5";"0,6";"-4,9";"0,0%";"0,0%";"86,3%";"2,1%";"0,0%";"4";"1,4";"-1,7%";"1,3";"7,5%";"12,6%";"-21,4%"
"899";"DSV";"Danmark";"DSV";"Industri";"576376,7";"46,3";"-1,7";"1,26";"2,9";"21,7";"1,7";"-6,0";"7,1%";"4,3%";"27,0%";"7,9%";"3,4%";"6";"1,0";"1,6%";"3,1";"0,4%";"20,2%";"10,2%"
"2315";"Duell";"Finland";"DUELL";"Sällanköpsvaror";"128,0";"-10,8";;"0,67";"0,2";"26,9";"0,2";"77,7";"-2,1%";"-1,6%";"27,9%";"0,9%";"-0,8%";"6";"3,9";"0,7%";"3,9";"-29,0%";"-49,1%";"-67,2%"
"65";"Duni";"Sverige";"DUNI";"Dagligvaror";"4460,2";"14,3";"0,7";"0,48";"1,3";"12,7";"0,8";"-12,4";"7,7%";"5,3%";"24,5%";"6,2%";"4,1%";"7";"1,7";"3,3%";"2,0";"-7,0%";"-1,8%";"-7,0%"
"66";"Duroc";"Sverige";"DURC B";"Industri";"682,5";"-43,8";;"0,49";"0,6";"75,6";"0,4";"61,5";"-1,4%";"-1,1%";"42,7%";"0,5%";"-0,5%";"3";"1,8";"-6,1%";"3,2";"14,4%";"3,6%";"5,7%"
"602";"Dustin Group";"Sverige";"DUST";"Informationsteknik";"1859,5";"-0,7";;"1,27";"0,3";"-1,5";"0,2";"10,1";"-47,2%";"-34,9%";"13,3%";"-11,7%";"-12,2%";"5";"1,2";"-3,6%";"3,5";"-21,8%";"-14,2%";"-65,4%"
"2329";"Dynavox Group";"Sverige";"DYVOX";"Informationsteknik";"9052,7";"53,9";"4,2";"0,86";"14,9";"38,8";"4,0";"-75,2";"27,6%";"10,4%";"68,4%";"10,3%";"6,7%";"6";"1,6";"26,6%";"1,9";"-16,8%";"-29,8%";"36,8%"
"988";"Eagle Filters";"Finland";"EAGLE";"Finans & Fastighet";"159,1";"-2,6";;"0,52";"-35,8";"-4,5";"5,7";"-4,5";;"-115,2%";"22,7%";"-126,9%";"-153,4%";;"0,6";"204,3%";"-1,9";"-14,0%";"-11,5%";"-12,8%"
"1162";"EAM Solar";"Norge";"EAM";"Kraftförsörjning";"22,2";"-1,8";;"-0,53";"1,0";"-5,3";"3,3";"-1,4";"-56,2%";"-10,4%";"83,9%";"-62,6%";"-84,0%";"1";"4,3";"-0,1%";"-11,2";"13,1%";"-20,1%";"-92,1%"
"2615";"Easor";"Finland";"EASOR";"Informationsteknik";"309,8";;;;;;;;;;;;;"1";;;;;;
"67";"Eastnine";"Sverige";"EAST";"Finans & Fastighet";"4342,3";"16,3";"0,6";"0,54";"0,9";"27,8";"14,0";"17,0";"5,3%";"2,6%";"93,4%";"50,2%";"39,9%";;"2,1";"26,8%";"14,9";"-10,8%";"-5,8%";"3,9%"
"509";"EasyFill";"Sverige";"EASY B";"Industri";"27,9";"-1,5";;"0,52";"1,8";"-2,0";"0,4";"-2,1";"-114,5%";"-70,9%";"27,2%";"-21,1%";"-28,3%";;"0,6";"-22,9%";;"-24,8%";"-31,5%";"-20,9%"
"1432";"EatGood";"Sverige";"EATG";"Industri";"3,3";"-1,0";;"1,01";"0,9";"-1,4";"1,9";"-1,0";"-96,8%";"-71,1%";"-78,6%";"-138,8%";"-144,5%";"1";"2,8";"-26,3%";"-0,4";"-66,4%";"-61,6%";"-81,7%"
"460";"Ecoclime";"Sverige";"ECC B";"Industri";"7,2";"-0,1";;"-0,99";"0,1";"0,4";"-0,1";"-0,2";"-63,5%";"-79,3%";"45,0%";"-32,5%";"-35,1%";"3";"2,2";"-14,5%";;"-46,5%";"-62,0%";"-85,0%"
"497";"ECOMB";"Sverige";"ECOMB";"Industri";"8,5";"-1,1";;"1,01";"3,3";"-0,7";"2,5";"-1,2";"-299,3%";;"88,3%";"-381,2%";"-563,4%";"1";"1,0";"-39,1%";;"-57,0%";"-80,7%";"-85,3%"
"498";"EcoRub";"Sverige";"ECO B";"Industri";"38,6";"-3,3";;"0,48";"12,3";"-4,0";"3,5";"-4,2";"-368,2%";"-30,8%";"88,5%";"-87,8%";"-90,2%";"2";"3,6";"43,8%";"-1,0";"-24,3%";"-4,9%";"-21,4%"
"2260";"EcoUp";"Finland";"ECOUP";"Industri";"142,2";"-4,3";;"0,84";"0,9";"-5,8";"0,6";"-12,2";"-20,9%";"-16,4%";"65,6%";"-10,3%";"-10,1%";"2";"1,2";"-6,3%";"6,9";"-16,8%";"-32,1%";"-47,2%"
"2241";"Edyoutec";"Sverige";"EDYOU";"Sällanköpsvaror";"27,4";"-0,7";;"-0,33";"0,5";"-0,7";"1,9";"-2,6";"-78,8%";"-63,3%";"119,6%";"-281,3%";"-294,3%";"2";"0,7";"26,4%";;"-37,6%";"-50,8%";"-52,3%"
"2254";"eEducation Albert";"Sverige";"ALBERT";"Informationsteknik";"107,6";"-1,7";;"-0,01";"2,4";"-1,1";"0,4";"28,7";"-137,7%";"-599,1%";"50,2%";"-40,4%";"-38,8%";"5";"0,8";"9,4%";;"-23,3%";"-3,8%";"48,1%"
