"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"1397";"Acarix";"Sverige";"ACARIX";"Hälsovård";"327,9";"-6,8";;"0,56";"8,6";"-6,4";"42,1";"-6,7";"-126,0%";"-241,7%";"84,7%";"-652,2%";"-653,3%";"1";"4,1";"8,1%";;"0,5%";"-8,0%";"2,9%"
"2198";"Acast";"Sverige";"ACAST";"Informationsteknik";"4871,8";"-43,1";;"0,60";"4,1";"-245,0";"1,8";"-89,4";"-9,5%";"-15,6%";"39,3%";"-0,7%";"-4,5%";"5";"1,7";"21,9%";"-6,3";"-21,9%";"47,0%";"71,7%"
"1572";"Acconeer";"Sverige";"ACCON";"Industri";"731,0";"-33,1";;"0,74";"2,7";"-31,0";"11,4";"-11,8";"-7,9%";"-17,8%";"58,5%";"-36,7%";"-34,8%";"1";"0,9";"7,3%";;"-18,6%";"102,3%";"71,4%"
"2597";"Ace Digital";"Norge";"ACED";"Informationsteknik";"68,7";;;;;;;;;;;;;"1";;;;"15,2%";;
"432";"Acenta Group";"Sverige";"PADEL";"Sällanköpsvaror";"40,1";"-0,3";;"0,76";"-1,8";"-2,2";"2,8";"-3,8";;;"-74,4%";"-130,9%";"-963,9%";"3";"0,5";"86,5%";;"-57,3%";"-68,3%";"-48,2%"
"1402";"AcouSort";"Sverige";"ACOU";"Hälsovård";"59,9";"-4,5";;"0,24";"3,3";"-5,0";"7,9";"-3,7";"-74,6%";"-112,6%";"52,8%";"-157,8%";"-196,1%";"1";"8,0";"11,1%";;"8,4%";"-12,9%";"-27,1%"
"607";"Acrinova A";"Sverige";"ACRI A";"Finans & Fastighet";"439,7";"30,0";"-0,7";"0,02";"1,2";"32,4";"7,5";"1,2";"4,1%";"2,9%";"60,9%";"23,1%";"18,4%";;"3,7";"1,6%";"8,6";"-8,2%";"-27,1%";"17,4%"
"525";"Acroud";"Sverige";"ACROUD";"Sällanköpsvaror";"174,0";"-3,1";;"-0,10";"0,9";"-52,3";"0,6";"-33,1";"-30,0%";"-17,9%";"20,3%";"-1,1%";"-11,1%";"4";"1,3";"14,5%";"2,9";"-6,2%";"-0,7%";"-3,2%"
"1426";"Actic Group";"Sverige";"ATIC";"Sällanköpsvaror";"669,0";"8,6";"0,0";"0,87";"2,9";"11,7";"2,0";"3,0";"33,2%";"9,3%";"74,0%";"17,3%";"11,2%";"6";"0,4";"-2,5%";"2,7";"-15,5%";"3,9%";"162,5%"
"6";"Active Biotech";"Sverige";"ACTI";"Hälsovård";"104,7";"-1,3";;"0,24";"0,9";"0,4";;"-1,5";"-67,1%";;;;;"2";"4,7";;;"-11,8%";"-76,1%";"-51,7%"
"1451";"AcuCort";"Sverige";"ACUC";"Hälsovård";"126,6";"-4,8";;"0,63";"2,0";"-3,8";"146,7";"-5,1";"-41,1%";"-71,3%";"311,2%";"-3901,8%";"-3857,1%";"1";"8,1";;;"-6,6%";"1,7%";"-31,1%"
"1326";"Acuvi";"Sverige";"ACUVI";"Industri";"393,6";"-25,6";;"0,32";"0,9";"-78,3";"2,1";"-20,5";"-3,7%";"-3,5%";"56,4%";"-2,7%";"-7,5%";"2";"2,4";"3,3%";"2,1";"-40,9%";"-59,2%";"-21,9%"
"1015";"AddLife";"Sverige";"ALIF B";"Hälsovård";"17045,0";"30,3";"0,2";"0,88";"3,1";"21,2";"2,0";"19,0";"10,3%";"7,1%";"38,1%";"9,5%";"5,4%";"8";"1,0";"4,8%";"2,2";"-12,7%";"-27,2%";"-7,6%"
"7";"Addnode";"Sverige";"ANOD B";"Informationsteknik";"8971,5";"23,2";"-3,9";"0,93";"3,3";"18,7";"2,0";"-7,0";"14,1%";"6,9%";"76,7%";"10,5%";"6,6%";"6";"0,9";"-2,4%";"2,4";"-30,5%";"-43,2%";"-38,4%"
"8";"Addtech";"Sverige";"ADDT B";"Industri";"81510,8";"38,9";"2,5";"1,21";"10,7";"28,9";"3,8";"41,4";"27,4%";"17,0%";"32,7%";"13,1%";"9,2%";"9";"1,7";"6,5%";"1,3";"-8,2%";"-7,8%";"-2,0%"
"1672";"Admicom";"Finland";"ADMCM";"Informationsteknik";"1737,3";"29,2";"-2,9";"0,71";"4,4";"19,3";"3,9";"21,7";"15,1%";"20,4%";"96,4%";"20,1%";"14,1%";"7";"2,0";"6,1%";"-0,7";"-27,5%";"-33,6%";"-37,6%"
"2348";"Administer";"Finland";"ADMIN";"Informationsteknik";"385,2";"-19,9";;"0,31";"1,3";"-148,3";"0,6";"13,3";"-6,8%";"-6,3%";"90,9%";"-0,4%";"-2,2%";"6";"0,6";"11,6%";"1,3";"-5,7%";"-16,7%";"0,9%"
"1736";"ADS Maritime";"Norge";"ADS";"Industri";"182,8";"19,5";"-0,5";"0,53";"0,8";"-28,3";"35,2";"-6,0";"4,0%";"4,1%";"100,0%";"-124,7%";"187,1%";"3";"3,5";;;"13,6%";"14,7%";"25,0%"
"2318";"Adtraction";"Sverige";"ADTR";"Sällanköpsvaror";"524,8";"-63,2";;"0,12";"2,5";"-24,3";"0,3";"9,6";"-9,4%";"-19,2%";"19,2%";"-1,4%";"-1,7%";"5";"1,2";"8,6%";"-2,3";"11,3%";"2,3%";"-0,3%"
"420";"Advenica";"Sverige";"ADVE";"Informationsteknik";"607,0";"36,6";"0,3";"0,15";"5,3";"28,0";"2,6";"-69,0";"14,5%";"25,5%";"53,6%";"9,2%";"8,2%";"7";"2,2";"19,7%";"-3,5";"-24,8%";"-28,1%";"-21,6%"
"1751";"Adverty";"Sverige";"ADVT";"Sällanköpsvaror";"22,6";"-1,4";;"-0,47";"2,3";"-1,0";"0,4";"-0,9";"-164,5%";"-84,2%";"34,3%";"-39,4%";"-48,4%";"2";"1,9";"26,4%";;"-12,8%";"-24,1%";"-70,5%"
"1411";"Aerowash";"Sverige";"AERW B";"Industri";"53,6";"-4,6";;"0,36";"1,1";"-4,0";"1,5";"-4,6";"-23,4%";"-23,8%";"14,6%";"-38,2%";"-33,3%";"2";"2,3";"25,7%";"-0,0";"7,1%";"17,3%";"-19,9%"
"1009";"AF Gruppen";"Norge";"AFG";"Industri";"20442,4";"17,5";"0,3";"0,46";"6,6";"10,8";"0,6";"6,3";"27,7%";"29,5%";"51,2%";"5,2%";"3,4%";"6";"0,7";"0,8%";"-0,5";"-6,6%";"2,7%";"18,9%"
"793";"Afarak";"Finland";"AFAGR";"Material";"781,9";"-7,8";;"0,03";"0,7";"-27,9";"0,5";"21,7";"-9,3%";"-7,9%";"105,8%";"-1,8%";"-6,3%";"5";"1,7";"-10,7%";"-15,0";"2,9%";"-11,0%";"-17,4%"
"1700";"Africa Energy";"Sverige";"AEC";"Energi";"1011,0";"-3,6";;"-0,34";"2,4";"-3,8";;"-44,4";"-67,6%";"-74,5%";;;;"1";"13,7";;"-0,2";"131,9%";"78,8%";"73,0%"
"1701";"Africa Resources";"Sverige";"AFRI";"Material";"23,0";"-3,0";;"-0,54";"1,6";"-6,0";"4,4";"-92,0";"-54,1%";"-20,4%";"102,9%";"-74,1%";"-74,1%";"1";"0,0";"4,4%";"-4,5";"2,9%";"-13,5%";"-12,8%"
"241";"AFRY";"Sverige";"AFRY";"Industri";"13896,0";"17,4";"-0,5";"1,01";"1,1";"12,8";"0,7";"7,3";"6,3%";"4,9%";"79,5%";"5,4%";"3,1%";"5";"1,0";"3,0%";"1,8";"-15,6%";"-23,2%";"-37,4%"
"1289";"Agat Ejendomme";"Danmark";"AGAT";"Finans & Fastighet";"193,9";"27,3";"0,3";"0,09";"0,5";"34,4";"8,1";"-22,1";"1,7%";"0,7%";"39,9%";"23,6%";"6,5%";;"2,1";"-26,1%";"25,2";"-0,9%";"-11,4%";"-19,9%"
"395";"Ages Industri";"Sverige";"AGES B";"Industri";"346,5";"16,3";"0,1";"0,17";"1,1";"14,0";"0,6";"6,4";"6,8%";"4,8%";"13,6%";"4,2%";"2,4%";"5";"1,1";"-12,6%";"2,3";"-10,6%";"-16,0%";"-22,0%"
"1214";"AGF B";"Danmark";"AGF B";"Sällanköpsvaror";"954,0";"-24,3";;"0,11";"1,8";"-15,7";"2,2";"-17,5";"-7,6%";"-8,2%";"58,0%";"-14,0%";"-11,4%";"3";"3,1";"2,2%";"-5,3";"24,2%";"50,0%";"46,6%"
"1686";"Agillic";"Danmark";"AGILC";"Informationsteknik";"116,2";"-6,8";;"-0,03";"-2,9";"-10,5";"1,6";"-66,8";;;"80,5%";"-15,4%";"-18,5%";"5";"0,1";"-3,0%";"6,0";"-1,4%";"-4,2%";"-24,6%"
